ticker,strategy,timeframe,entry_time,exit_time,TimeInDays,AvgTimeInMarketHours,StdTimeInMarket,NoOfTrades,RatioNegative,TotalProfit%,AvgProfitPerTrade%,ProfitPositive%,ProfitNegative%,ratio,MinCumulative%,MaxCumulative%,runup%,drawdown%,MinPrice,MaxPrice,var,TradesPerDay,AdjustedProfit%,APPD
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,10s,2023-07-27 00:04:20,2023-07-29 16:32:30,2.6862268518518517,0.0012761172692882907,0.0013262441146388697,842,48%,255.66640000000203,0.3036418052256556,390.18959999999635,-134.52319999999838,2.9,-0.32%,99.80%,0.1,0.0,1854.87,1884.66,0.0%,313.5,2556.66400000002,951.7677176957291
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,15s,2023-07-26 00:03:30,2023-07-29 16:32:30,3.6868055555555554,0.0015474524892153455,0.0014749390551695406,953,51%,277.57760000000184,0.29126715634837547,505.64479999999475,-228.0671999999992,2.2,-0.64%,99.09%,0.1,0.0,1848.55,1884.25,0.0%,258.5,2775.7760000000185,752.8946016198958
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,1m,2023-07-10 00:15:00,2023-10-12 14:21:00,94.5875,0.004037217305801325,0.003655567738531825,5650,57%,2411.689999999996,0.42684778761061876,5296.306400000109,-2884.6163999999844,1.8,1.16%,992.63%,0.1,0.0,1543.34,2020.59,0.3%,59.7,24116.899999999958,254.96920840491563
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,1s,2023-07-21 00:00:00,2023-07-29 16:36:22,8.691921296296297,0.0003680958870378855,0.0005032961423677367,4362,41%,819.8003999999543,0.1879414030261243,1321.4479999999476,-501.64760000002315,2.6,-0.01%,99.58%,0.0,0.0,1844.52,1903.94,0.0%,501.8,8198.003999999542,943.175130162854
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,30s,2023-07-22 00:08:30,2023-07-29 16:17:30,7.672916666666667,0.0023959146500130133,0.0021242884230270142,1281,51%,463.2251999999883,0.36161217798593936,842.2735999999937,-379.0484000000054,2.2,-0.28%,99.52%,0.1,0.0,1838.34,1902.57,0.0%,167.0,4632.251999999883,603.7146239478534
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,5s,2023-07-28 00:04:40,2023-07-29 16:32:30,1.6859953703703703,0.0010050643042446316,0.0010780422133303265,671,41%,213.0031999999968,0.31744143070044234,283.47559999999925,-70.47240000000367,4.0,-0.38%,98.83%,0.0,0.0,1856.52,1881.11,0.0%,398.0,2130.0319999999683,1263.3676446763045
BINANCE:FETUSDT.P,Strategy v1,1m,2023-07-14 14:31:00,2023-07-20 14:47:00,6.011111111111112,2.3075925925925924,0.16415710945421227,3,0%,0.05060000000000002,0.016866666666666672,0.05060000000000002,0.0,100.0,0.02%,0.05%,9.2,4.5,0.2384,0.2466,0.0%,0.5,0.5060000000000002,0.08417744916820705
BINANCE:FETUSDT.P,Strategy v10,1m,2023-07-13 09:00:00,2023-07-31 00:14:00,17.634722222222223,0.13506944444444444,0.11959301160990102,4,50%,0.002000000000000037,0.0005000000000000092,0.011200000000000033,-0.009199999999999996,1.2,0.00%,0.01%,5.4,1.6,0.2111,0.2361,0.1%,0.2,0.020000000000000368,0.0011341261715366042
BINANCE:FETUSDT.P,Strategy v19,1m,2023-07-10 00:42:00,2023-07-27 05:15:00,17.189583333333335,0.4364276485788113,0.3598830337645906,43,42%,0.18680000000000055,0.004344186046511641,0.26740000000000014,-0.0805999999999998,3.3,-0.00%,0.24%,4.1,2.9,0.2096,0.2506,0.2%,2.5,1.8680000000000054,0.10867046418615955
BINANCE:FETUSDT.P,Strategy v2.1,1m,2023-07-10 12:06:00,2023-07-31 14:39:00,21.10625,0.1650055334218679,0.17574014284950654,251,34%,0.10960000000000075,0.00043665338645418626,0.4065999999999995,-0.2970000000000002,1.4,-0.00%,0.12%,1.5,1.8,0.2085,0.2448,0.2%,11.9,1.0960000000000076,0.05192774652058076
